index,x_pixel,y_pixel,cost
0,442,461,7
1,438,465,0
2,434,466,8
3,430,466,12
4,426,464,13
5,423,460,0
6,420,456,15
7,416,454,0
8,412,451,0
9,408,448,8
10,406,444,5
11,403,440,8
12,399,436,0
13,396,432,0
14,392,432,10
15,388,432,5
16,384,430,0
17,380,428,8
18,376,424,0
19,372,425,0
20,368,424,5
21,364,423,0
22,360,423,10
23,356,422,12
24,352,420,0
25,348,419,8
26,344,417,12
27,340,414,8
28,336,412,3
29,332,408,5
30,328,409,3
31,324,407,0
32,320,403,0
33,317,399,3
34,313,395,4
35,311,391,0
36,312,387,8
37,314,383,12
38,313,379,3
39,309,376,0
40,309,372,10
41,310,368,5
42,308,364,13
43,307,360,0
44,309,356,8
45,308,352,0
46,310,348,5
47,313,344,5
48,312,340,12
49,310,336,0
50,312,332,12
51,313,328,13
52,314,324,0
53,313,320,5
54,312,316,13
55,313,312,0
56,314,308,5
57,314,304,5
58,315,300,0
59,316,296,3
60,320,292,13
61,322,288,0
62,323,284,5
63,323,280,0
64,323,276,8
65,324,272,0
66,325,268,8
67,326,264,0
68,330,260,8
69,333,256,0
70,335,252,5
71,339,248,5
72,341,244,0
73,344,240,7
74,348,236,5
75,352,233,5
76,354,229,0
77,358,227,8
78,362,224,0
79,366,221,15
80,369,217,7
81,372,213,3
82,375,209,8
83,374,205,12
84,374,201,12
85,375,197,5
86,371,193,8
87,371,189,12
88,371,185,16
89,374,187,13
90,378,191,13
91,382,195,13
92,385,199,5
93,389,203,8
94,393,206,14
95,397,208,22
96,401,212,12
97,405,214,5
98,409,217,10
99,413,221,8
100,417,223,7
101,421,224,0
102,425,228,0
103,428,232,0
104,430,236,0
105,434,240,0
106,438,244,0
107,442,246,5
108,446,248,5
109,450,250,0
110,454,250,0
111,458,250,0
112,462,250,8
113,466,250,17
114,470,247,12
115,473,249,5
116,475,253,3
117,475,257,0
118,475,261,0
119,475,265,0
120,474,269,0
121,473,273,7
122,473,277,0
123,471,281,11
124,472,285,15
125,474,289,8
126,475,293,10
127,479,297,0
128,478,301,17
129,476,305,12
130,476,309,5
131,475,313,5
132,474,317,0
133,477,321,0
134,480,325,0
135,480,329,0
136,480,333,0
137,480,337,21
138,476,339,0
139,472,342,0
140,470,346,0
141,466,350,0
142,464,351,0
143,463,355,12
144,461,359,0
145,461,363,0
146,461,367,3
147,462,371,9
148,459,374,5
149,456,378,0
150,454,382,8
151,453,386,5
152,450,390,5
153,449,394,8
154,449,398,0
155,451,402,8
156,450,406,0
157,449,410,13
158,446,414,9
159,445,418,13
160,444,422,8
161,444,426,3
162,444,430,3
163,443,434,0
164,446,438,3
165,447,442,0
166,449,446,0
167,450,450,0
168,451,454,3
169,447,457,0
170,443,461,5
171,442,461,7
