index,x_pixel,y_pixel,cost,real_x,real_y
0,442,461,7,18.6474,10.7774
1,438,465,0,18.4469,10.9779
2,434,466,8,18.2464,11.0280
3,430,466,12,18.0459,11.0280
4,426,464,13,17.8454,10.9278
5,423,460,0,17.6950,10.7273
6,420,456,15,17.5446,10.5268
7,416,454,0,17.3441,10.4265
8,412,451,0,17.1436,10.2761
9,408,448,8,16.9431,10.1257
10,406,444,5,16.8428,9.9252
11,403,440,8,16.6924,9.7247
12,399,436,0,16.4919,9.5242
13,396,432,0,16.3415,9.3237
14,392,432,10,16.1410,9.3237
15,388,432,5,15.9405,9.3237
16,384,430,0,15.7400,9.2234
17,380,428,8,15.5395,9.1232
18,376,424,0,15.3390,8.9227
19,372,425,0,15.1385,8.9728
20,368,424,5,14.9380,8.9227
21,364,423,0,14.7375,8.8726
22,360,423,10,14.5370,8.8726
23,356,422,12,14.3364,8.8224
24,352,420,0,14.1359,8.7222
25,348,419,8,13.9354,8.6720
26,344,417,12,13.7349,8.5718
27,340,414,8,13.5344,8.4214
28,336,412,3,13.3339,8.3212
29,332,408,5,13.1334,8.1206
30,328,409,3,12.9329,8.1708
31,324,407,0,12.7324,8.0705
32,320,403,0,12.5319,7.8700
33,317,399,3,12.3815,7.6695
34,313,395,4,12.1810,7.4690
35,311,391,0,12.0807,7.2685
36,312,387,8,12.1308,7.0680
37,314,383,12,12.2311,6.8675
38,313,379,3,12.1810,6.6669
39,309,376,0,11.9805,6.5166
40,309,372,10,11.9805,6.3161
41,310,368,5,12.0306,6.1155
42,308,364,13,11.9303,5.9150
43,307,360,0,11.8802,5.7145
44,309,356,8,11.9805,5.5140
45,308,352,0,11.9303,5.3135
46,310,348,5,12.0306,5.1130
47,313,344,5,12.1810,4.9125
48,312,340,12,12.1308,4.7120
49,310,336,0,12.0306,4.5115
50,312,332,12,12.1308,4.3110
51,313,328,13,12.1810,4.1104
52,314,324,0,12.2311,3.9099
53,313,320,5,12.1810,3.7094
54,312,316,13,12.1308,3.5089
55,313,312,0,12.1810,3.3084
56,314,308,5,12.2311,3.1079
57,314,304,5,12.2311,2.9074
58,315,300,0,12.2812,2.7069
59,316,296,3,12.3313,2.5064
60,320,292,13,12.5319,2.3059
61,322,288,0,12.6321,2.1054
62,323,284,5,12.6822,1.9048
63,323,280,0,12.6822,1.7043
64,323,276,8,12.6822,1.5038
65,324,272,0,12.7324,1.3033
66,325,268,8,12.7825,1.1028
67,326,264,0,12.8326,0.9023
68,330,260,8,13.0331,0.7018
69,333,256,0,13.1835,0.5013
70,335,252,5,13.2838,0.3008
71,339,248,5,13.4843,0.1003
72,341,244,0,13.5845,-0.1003
73,344,240,7,13.7349,-0.3008
74,348,236,5,13.9354,-0.5013
75,352,233,5,14.1359,-0.6517
76,354,229,0,14.2362,-0.8522
77,358,227,8,14.4367,-0.9524
78,362,224,0,14.6372,-1.1028
79,366,221,15,14.8377,-1.2532
80,369,217,7,14.9881,-1.4537
81,372,213,3,15.1385,-1.6542
82,375,209,8,15.2889,-1.8547
83,374,205,12,15.2387,-2.0552
84,374,201,12,15.2387,-2.2557
85,375,197,5,15.2889,-2.4562
86,371,193,8,15.0884,-2.6568
87,371,189,12,15.0884,-2.8573
88,371,185,16,15.0884,-3.0578
89,374,187,13,15.2387,-2.9575
90,378,191,13,15.4392,-2.7570
91,382,195,13,15.6398,-2.5565
92,385,199,5,15.7901,-2.3560
93,389,203,8,15.9906,-2.1555
94,393,206,14,16.1912,-2.0051
95,397,208,22,16.3917,-1.9048
96,401,212,12,16.5922,-1.7043
97,405,214,5,16.7927,-1.6041
98,409,217,10,16.9932,-1.4537
99,413,221,8,17.1937,-1.2532
100,417,223,7,17.3942,-1.1529
101,421,224,0,17.5947,-1.1028
102,425,228,0,17.7952,-0.9023
103,428,232,0,17.9456,-0.7018
104,430,236,0,18.0459,-0.5013
105,434,240,0,18.2464,-0.3008
106,438,244,0,18.4469,-0.1003
107,442,246,5,18.6474,0.0000
108,446,248,5,18.8479,0.1003
109,450,250,0,19.0484,0.2005
110,454,250,0,19.2489,0.2005
111,458,250,0,19.4494,0.2005
112,462,250,8,19.6500,0.2005
113,466,250,17,19.8505,0.2005
114,470,247,12,20.0510,0.0501
115,473,249,5,20.2014,0.1504
116,475,253,3,20.3016,0.3509
117,475,257,0,20.3016,0.5514
118,475,261,0,20.3016,0.7519
119,475,265,0,20.3016,0.9524
120,474,269,0,20.2515,1.1529
121,473,273,7,20.2014,1.3534
122,473,277,0,20.2014,1.5540
123,471,281,11,20.1011,1.7545
124,472,285,15,20.1512,1.9550
125,474,289,8,20.2515,2.1555
126,475,293,10,20.3016,2.3560
127,479,297,0,20.5021,2.5565
128,478,301,17,20.4520,2.7570
129,476,305,12,20.3517,2.9575
130,476,309,5,20.3517,3.1580
131,475,313,5,20.3016,3.3585
132,474,317,0,20.2515,3.5590
133,477,321,0,20.4019,3.7596
134,480,325,0,20.5522,3.9601
135,480,329,0,20.5522,4.1606
136,480,333,0,20.5522,4.3611
137,480,337,21,20.5522,4.5616
138,476,339,0,20.3517,4.6619
139,472,342,0,20.1512,4.8122
140,470,346,0,20.0510,5.0127
141,466,350,0,19.8505,5.2133
142,464,351,0,19.7502,5.2634
143,463,355,12,19.7001,5.4639
144,461,359,0,19.5998,5.6644
145,461,363,0,19.5998,5.8649
146,461,367,3,19.5998,6.0654
147,462,371,9,19.6500,6.2659
148,459,374,5,19.4996,6.4163
149,456,378,0,19.3492,6.6168
150,454,382,8,19.2489,6.8173
151,453,386,5,19.1988,7.0178
152,450,390,5,19.0484,7.2183
153,449,394,8,18.9983,7.4189
154,449,398,0,18.9983,7.6194
155,451,402,8,19.0985,7.8199
156,450,406,0,19.0484,8.0204
157,449,410,13,18.9983,8.2209
158,446,414,9,18.8479,8.4214
159,445,418,13,18.7978,8.6219
160,444,422,8,18.7477,8.8224
161,444,426,3,18.7477,9.0229
162,444,430,3,18.7477,9.2234
163,443,434,0,18.6975,9.4240
164,446,438,3,18.8479,9.6245
165,447,442,0,18.8980,9.8250
166,449,446,0,18.9983,10.0255
167,450,450,0,19.0484,10.2260
168,451,454,3,19.0985,10.4265
169,447,457,0,18.8980,10.5769
170,443,461,5,18.6975,10.7774
171,442,461,7,18.6474,10.7774
